cost,mass,drag,design
90.7,76.1,0.271,D0873
106.4,67.0,0.383,D0874
90.6,67.1,0.356,D0875
61.4,39.2,0.529,D0876
61.8,72.4,0.168,D0877
62.7,39.7,0.471,D0878
130.7,20.9,0.709,D0879
136.6,23.0,0.718,D0880
116.0,27.9,0.657,D0881
59.2,43.0,0.425,D0882
96.2,28.7,0.561,D0883
96.9,47.9,0.445,D0884
100.4,71.1,0.189,D0885
93.9,67.8,0.373,D0886
65.7,75.4,0.246,D0887
88.1,50.5,0.404,D0888
101.8,51.9,0.486,D0889
106.4,23.1,0.558,D0890
85.4,48.3,0.5,D0891
110.1,30.2,0.534,D0892
81.5,67.6,0.335,D0893
109.8,35.3,0.549,D0894
86.9,23.9,0.672,D0895
81.1,79.3,0.255,D0896
89.1,21.7,0.623,D0897
77.7,50.9,0.393,D0898
59.2,24.1,0.591,D0899
109.7,30.5,0.507,D0900
58.5,64.5,0.369,D0901
107.6,23.3,0.713,D0902
121.2,38.1,0.416,D0903
103.4,30.1,0.55,D0904
90.8,38.7,0.592,D0905
97.9,26.7,0.615,D0906
125.0,33.9,0.547,D0907
74.4,60.5,0.309,D0908
52.1,77.6,0.283,D0909
97.6,59.4,0.441,D0910
46.3,46.4,0.477,D0911
36.1,79.7,0.24,D0912
88.5,78.0,0.231,D0913
120.6,42.4,0.566,D0914
80.2,66.5,0.256,D0915
86.8,53.4,0.403,D0916
117.8,47.4,0.52,D0917
64.9,32.6,0.491,D0918
59.3,55.1,0.307,D0919
87.2,72.3,0.342,D0920
53.7,34.8,0.527,D0921
25.1,60.4,0.338,D0922
99.1,29.3,0.494,D0923
110.1,55.9,0.35,D0924
129.1,27.0,0.577,D0925
35.3,67.6,0.37,D0926
60.6,69.1,0.372,D0927
49.4,77.9,0.183,D0928
102.7,52.2,0.378,D0929
117.5,20.0,0.65,D0930
85.3,58.0,0.418,D0931
101.7,68.1,0.364,D0932
97.0,26.3,0.633,D0933
23.1,77.3,0.217,D0934
89.4,21.9,0.704,D0935
126.0,28.0,0.644,D0936
41.7,61.8,0.343,D0937
114.6,28.2,0.647,D0938
95.0,70.5,0.252,D0939
68.9,53.0,0.442,D0940
109.2,46.9,0.47,D0941
96.7,55.5,0.427,D0942
86.2,34.1,0.502,D0943
90.2,78.1,0.178,D0944
97.6,54.9,0.464,D0945
27.4,57.3,0.444,D0946
121.6,45.0,0.459,D0947
94.2,76.1,0.176,D0948
129.4,27.2,0.506,D0949
55.1,24.5,0.535,D0950
76.9,37.3,0.614,D0951
125.4,26.2,0.542,D0952
99.2,56.0,0.369,D0953
75.4,64.8,0.312,D0954
124.4,20.7,0.565,D0955
59.4,55.5,0.4,D0956
97.7,73.2,0.313,D0957
95.2,23.5,0.701,D0958
135.5,21.5,0.54,D0959
67.7,41.6,0.529,D0960
81.1,59.7,0.415,D0961
69.6,38.6,0.605,D0962
93.8,49.6,0.438,D0963
85.0,63.5,0.398,D0964
93.7,57.9,0.381,D0965
58.3,65.8,0.246,D0966
77.2,40.4,0.502,D0967
116.2,41.4,0.51,D0968
88.1,46.8,0.542,D0969
119.8,21.1,0.715,D0970
72.2,77.8,0.141,D0971
111.7,59.3,0.38,D0972
71.8,78.0,0.282,D0973
97.4,42.5,0.459,D0974
101.9,30.8,0.516,D0975
90.5,66.3,0.384,D0976
67.4,38.5,0.448,D0977
107.1,38.1,0.478,D0978
35.0,66.4,0.388,D0979
57.3,49.4,0.487,D0980
119.2,41.1,0.404,D0981
99.2,62.6,0.31,D0982
110.5,63.0,0.342,D0983
113.6,24.8,0.706,D0984
132.9,29.9,0.629,D0985
100.3,43.7,0.49,D0986
60.8,41.0,0.459,D0987
101.4,51.7,0.318,D0988
78.3,43.0,0.45,D0989
95.5,69.7,0.368,D0990
117.4,49.3,0.442,D0991
97.4,50.4,0.33,D0992
41.4,67.8,0.342,D0993
87.8,31.9,0.574,D0994
129.9,23.3,0.656,D0995
77.2,35.4,0.523,D0996
50.7,64.7,0.234,D0997
83.6,60.1,0.415,D0998
109.2,27.8,0.653,D0999
135.7,21.8,0.72,D1000
94.9,55.9,0.358,D1001
56.3,56.0,0.457,D1002
33.4,53.3,0.428,D1003
135.3,20.9,0.617,D1004
63.2,38.7,0.591,D1005
68.1,41.5,0.553,D1006
89.9,75.0,0.162,D1007
57.9,33.3,0.549,D1008
117.8,27.0,0.623,D1009
48.6,77.8,0.228,D1010
44.1,70.0,0.274,D1011
106.1,52.5,0.483,D1012
54.3,78.2,0.117,D1013
95.1,29.4,0.677,D1014
42.4,37.3,0.498,D1015
30.7,75.1,0.291,D1016
97.1,44.4,0.406,D1017
64.3,44.4,0.49,D1018
122.7,34.6,0.613,D1019
115.0,29.6,0.484,D1020
17.1,77.8,0.166,D1021
39.3,59.5,0.309,D1022
110.6,59.8,0.429,D1023
91.4,63.9,0.313,D1024
73.9,66.9,0.235,D1025
29.2,74.7,0.216,D1026
99.0,43.7,0.521,D1027
120.8,31.0,0.622,D1028
73.6,54.2,0.39,D1029
115.3,45.1,0.527,D1030
114.0,54.5,0.454,D1031
125.0,33.7,0.538,D1032
104.5,65.6,0.377,D1033
102.4,42.8,0.536,D1034
75.5,54.9,0.33,D1035
85.4,46.9,0.371,D1036
36.5,73.1,0.349,D1037
65.6,42.0,0.52,D1038
75.2,24.0,0.701,D1039
54.9,77.4,0.224,D1040
95.0,52.4,0.408,D1041
66.8,57.6,0.356,D1042
120.5,37.4,0.458,D1043
111.3,52.2,0.354,D1044
116.7,37.2,0.565,D1045
109.3,37.5,0.547,D1046
108.7,21.8,0.732,D1047
75.7,43.0,0.554,D1048
116.3,30.2,0.602,D1049
24.8,64.9,0.334,D1050
98.7,54.1,0.365,D1051
102.6,47.6,0.493,D1052
48.1,35.9,0.462,D1053
86.7,57.3,0.314,D1054
122.4,42.2,0.386,D1055
120.7,26.7,0.503,D1056
75.0,48.1,0.387,D1057
92.2,27.9,0.562,D1058
116.8,38.7,0.526,D1059
80.9,27.5,0.557,D1060
39.3,48.4,0.478,D1061
95.9,33.5,0.514,D1062
120.9,34.5,0.508,D1063
112.9,35.0,0.623,D1064
80.6,21.5,0.624,D1065
90.7,54.2,0.358,D1066
94.5,70.7,0.267,D1067
98.4,68.3,0.223,D1068
72.2,27.9,0.508,D1069
112.9,42.9,0.407,D1070
102.2,37.8,0.426,D1071
71.3,69.6,0.319,D1072
120.3,48.5,0.529,D1073
82.3,49.4,0.479,D1074
101.0,30.0,0.617,D1075
121.5,41.4,0.473,D1076
68.0,61.3,0.339,D1077
52.0,73.9,0.149,D1078
96.8,71.8,0.18,D1079
27.1,58.8,0.376,D1080
64.2,46.0,0.374,D1081
83.3,51.5,0.493,D1082
94.9,29.5,0.669,D1083
114.4,28.1,0.501,D1084
92.0,34.5,0.515,D1085
55.6,74.7,0.302,D1086
118.3,25.4,0.668,D1087
68.3,72.1,0.169,D1088
73.0,27.8,0.655,D1089
107.8,64.8,0.276,D1090
24.2,77.8,0.151,D1091
111.2,48.3,0.406,D1092
101.0,24.6,0.539,D1093
115.0,47.2,0.48,D1094
78.4,48.9,0.492,D1095
104.4,43.9,0.463,D1096
138.0,21.9,0.616,D1097
71.9,26.3,0.513,D1098
109.2,47.4,0.454,D1099
79.1,43.7,0.463,D1100
127.4,25.5,0.545,D1101
62.6,47.9,0.436,D1102
82.9,79.3,0.289,D1103
72.7,44.5,0.472,D1104
108.5,50.7,0.352,D1105
48.8,40.4,0.518,D1106
64.2,47.3,0.422,D1107
110.0,62.0,0.43,D1108
92.4,49.5,0.524,D1109
81.7,53.2,0.306,D1110
69.6,37.2,0.47,D1111
70.3,73.3,0.192,D1112
39.3,53.8,0.369,D1113
31.2,65.6,0.396,D1114
94.3,68.0,0.342,D1115
133.3,28.4,0.662,D1116
85.8,77.0,0.292,D1117
88.0,59.5,0.303,D1118
91.9,29.0,0.563,D1119
117.2,40.5,0.573,D1120
58.4,58.8,0.306,D1121
88.3,67.2,0.372,D1122
121.6,28.5,0.623,D1123
74.0,50.4,0.35,D1124
80.2,59.5,0.277,D1125
81.3,73.1,0.257,D1126
88.9,32.4,0.55,D1127
75.1,61.6,0.386,D1128
93.2,65.5,0.367,D1129
115.2,35.0,0.553,D1130
99.5,24.6,0.641,D1131
50.2,61.1,0.349,D1132
49.9,45.3,0.47,D1133
52.7,75.9,0.321,D1134
43.5,63.1,0.312,D1135
93.8,76.2,0.229,D1136
105.0,42.0,0.518,D1137
126.2,39.9,0.407,D1138
137.5,21.6,0.676,D1139
100.0,44.2,0.554,D1140
65.1,34.3,0.609,D1141
37.9,35.8,0.465,D1142
75.4,64.2,0.409,D1143
88.9,20.8,0.692,D1144
134.8,20.9,0.666,D1145
94.8,53.3,0.426,D1146
57.0,73.6,0.192,D1147
99.2,77.1,0.288,D1148
64.3,76.8,0.167,D1149
89.9,50.3,0.351,D1150
132.1,30.9,0.564,D1151
58.1,36.9,0.589,D1152
107.8,41.9,0.516,D1153
54.9,59.6,0.431,D1154
39.9,38.0,0.466,D1155
33.1,74.9,0.276,D1156
93.9,56.7,0.409,D1157
85.3,32.1,0.475,D1158
71.5,31.9,0.62,D1159
81.3,43.2,0.524,D1160
134.3,26.2,0.621,D1161
97.4,30.9,0.536,D1162
117.7,36.1,0.541,D1163
106.8,21.1,0.714,D1164
99.4,70.1,0.261,D1165
78.6,60.4,0.444,D1166
98.7,37.9,0.511,D1167
90.4,57.8,0.454,D1168
83.2,69.3,0.275,D1169
71.1,74.4,0.199,D1170
73.1,52.8,0.326,D1171
59.9,51.0,0.446,D1172
134.5,26.8,0.507,D1173
87.1,73.8,0.165,D1174
67.3,60.9,0.371,D1175
106.7,59.8,0.441,D1176
64.3,64.7,0.333,D1177
73.9,63.2,0.395,D1178
87.5,63.0,0.31,D1179
117.4,43.1,0.501,D1180
96.7,50.8,0.503,D1181
100.3,55.4,0.427,D1182
111.0,39.9,0.464,D1183
112.5,28.4,0.649,D1184
102.0,58.5,0.328,D1185
109.2,64.5,0.389,D1186
102.5,53.5,0.355,D1187
49.8,69.0,0.307,D1188
80.3,32.5,0.554,D1189
89.2,65.7,0.303,D1190
62.9,60.6,0.271,D1191
66.6,42.3,0.495,D1192
48.4,28.1,0.631,D1193
86.2,46.8,0.443,D1194
43.2,77.9,0.3,D1195
116.0,25.5,0.646,D1196
116.5,40.1,0.429,D1197
99.8,58.1,0.343,D1198
57.2,75.7,0.15,D1199
76.5,48.8,0.452,D1200
66.8,55.7,0.305,D1201
109.5,25.1,0.59,D1202
116.4,32.0,0.49,D1203
121.1,45.7,0.369,D1204
94.3,36.3,0.591,D1205
103.3,65.7,0.342,D1206
113.2,23.5,0.654,D1207
90.9,36.9,0.536,D1208
49.7,79.2,0.226,D1209
122.2,26.5,0.509,D1210
74.1,31.1,0.577,D1211
85.2,73.7,0.166,D1212
84.2,59.6,0.336,D1213
63.0,25.8,0.508,D1214
90.3,29.6,0.668,D1215
115.5,25.9,0.639,D1216
77.8,69.8,0.214,D1217
79.3,49.3,0.433,D1218
44.6,69.8,0.208,D1219
85.3,54.1,0.382,D1220
69.5,63.3,0.33,D1221
92.2,65.7,0.392,D1222
93.5,45.0,0.546,D1223
103.3,72.4,0.198,D1224
109.4,58.8,0.363,D1225
69.7,29.7,0.65,D1226
74.8,48.4,0.423,D1227
85.1,45.5,0.415,D1228
114.3,50.9,0.377,D1229
54.0,68.1,0.347,D1230
106.8,55.7,0.348,D1231
71.1,42.4,0.4,D1232
78.6,40.9,0.416,D1233
74.2,27.2,0.574,D1234
97.9,77.5,0.139,D1235
116.9,20.3,0.681,D1236
98.6,50.8,0.375,D1237
106.6,22.3,0.664,D1238
124.8,25.1,0.712,D1239
45.5,74.9,0.334,D1240
71.5,70.5,0.284,D1241
64.7,61.2,0.313,D1242
48.3,66.3,0.241,D1243
128.7,31.9,0.525,D1244
96.1,70.2,0.254,D1245
80.3,76.6,0.184,D1246
87.6,26.3,0.641,D1247
118.2,27.4,0.638,D1248
73.2,50.7,0.432,D1249
94.3,53.1,0.382,D1250
115.3,32.6,0.629,D1251
71.4,66.4,0.324,D1252
88.2,48.5,0.441,D1253
82.2,53.7,0.393,D1254
121.4,35.7,0.583,D1255
70.1,71.1,0.332,D1256
30.3,75.6,0.295,D1257
113.3,31.5,0.63,D1258
107.6,33.9,0.574,D1259
46.7,62.0,0.274,D1260
94.4,21.4,0.614,D1261
91.6,59.4,0.338,D1262
89.1,25.7,0.578,D1263
91.1,76.0,0.314,D1264
63.9,27.7,0.566,D1265
112.8,23.0,0.545,D1266
91.0,79.8,0.189,D1267
100.9,62.2,0.387,D1268
67.7,75.7,0.157,D1269
66.2,58.1,0.314,D1270
98.7,69.3,0.338,D1271
108.3,58.1,0.301,D1272
97.2,20.3,0.627,D1273
91.9,61.8,0.379,D1274
54.0,75.4,0.243,D1275
48.1,76.2,0.263,D1276
98.3,56.5,0.277,D1277
85.4,63.3,0.358,D1278
67.4,48.5,0.481,D1279
125.8,33.8,0.561,D1280
59.2,30.5,0.547,D1281
38.8,41.3,0.564,D1282
88.9,29.1,0.503,D1283
98.2,44.1,0.494,D1284
82.3,51.6,0.394,D1285
93.3,20.6,0.602,D1286
112.3,40.7,0.549,D1287
32.3,62.2,0.399,D1288
74.2,42.8,0.432,D1289
69.3,75.1,0.276,D1290
32.4,79.8,0.237,D1291
96.6,70.4,0.356,D1292
117.3,36.2,0.578,D1293
105.1,45.0,0.537,D1294
30.7,50.3,0.5,D1295
97.7,42.9,0.4,D1296
73.0,35.9,0.629,D1297
101.8,38.4,0.589,D1298
106.4,37.7,0.548,D1299
35.1,51.3,0.421,D1300
39.8,59.6,0.258,D1301
54.4,64.5,0.297,D1302
103.3,52.3,0.401,D1303
116.2,21.2,0.542,D1304
109.2,61.4,0.276,D1305
86.2,75.6,0.3,D1306
99.1,51.5,0.438,D1307
64.9,46.8,0.524,D1308
89.5,36.1,0.533,D1309
94.9,72.9,0.353,D1310
133.9,26.5,0.592,D1311
87.2,60.7,0.267,D1312
85.3,42.6,0.502,D1313
88.1,38.9,0.445,D1314
109.1,38.5,0.452,D1315
120.1,43.1,0.434,D1316
49.3,51.2,0.384,D1317
104.0,38.7,0.504,D1318
73.3,23.7,0.709,D1319
108.9,45.2,0.401,D1320
97.3,56.2,0.403,D1321
124.8,41.2,0.577,D1322
66.8,78.5,0.306,D1323
84.5,49.9,0.505,D1324
130.7,25.7,0.608,D1325
37.5,70.8,0.223,D1326
84.6,39.2,0.55,D1327
79.3,46.5,0.526,D1328
69.6,75.1,0.32,D1329
98.1,33.9,0.633,D1330
100.5,41.3,0.402,D1331
106.7,22.1,0.66,D1332
91.2,37.5,0.463,D1333
91.0,74.0,0.147,D1334
109.7,24.7,0.522,D1335
126.6,38.8,0.516,D1336
109.3,58.5,0.331,D1337
92.5,67.0,0.327,D1338
72.0,65.3,0.285,D1339
88.9,36.9,0.618,D1340
72.5,23.2,0.584,D1341
60.5,42.0,0.573,D1342
128.2,33.7,0.506,D1343
65.4,77.0,0.176,D1344
101.8,58.3,0.439,D1345
55.5,75.7,0.332,D1346
65.5,76.1,0.276,D1347
69.8,46.5,0.401,D1348
125.8,33.8,0.622,D1349
57.0,73.5,0.307,D1350
114.9,36.1,0.573,D1351
105.3,40.9,0.591,D1352
111.7,59.2,0.438,D1353
91.0,30.2,0.54,D1354
79.3,74.1,0.312,D1355
56.4,69.1,0.359,D1356
96.6,49.7,0.421,D1357
74.1,35.5,0.535,D1358
90.3,51.9,0.4,D1359
125.5,30.0,0.511,D1360
113.1,55.1,0.41,D1361
91.6,45.7,0.427,D1362
80.0,69.6,0.187,D1363
129.5,31.4,0.562,D1364
125.6,28.0,0.62,D1365
95.7,53.2,0.467,D1366
67.2,33.2,0.633,D1367
132.5,27.5,0.628,D1368
33.9,76.1,0.318,D1369
103.9,48.8,0.464,D1370
81.8,69.5,0.345,D1371
99.3,70.3,0.217,D1372
57.5,61.8,0.347,D1373
136.2,23.4,0.605,D1374
115.2,46.9,0.375,D1375
58.7,77.7,0.272,D1376
121.2,35.6,0.593,D1377
38.5,33.2,0.576,D1378
102.9,47.3,0.537,D1379
89.9,36.3,0.469,D1380
93.8,69.0,0.347,D1381
117.5,22.1,0.617,D1382
69.6,37.0,0.428,D1383
113.3,35.0,0.55,D1384
128.6,34.1,0.501,D1385
88.0,24.0,0.633,D1386
90.3,55.9,0.473,D1387
91.5,56.6,0.454,D1388
112.6,51.4,0.436,D1389
80.7,49.9,0.422,D1390
103.4,34.1,0.564,D1391
80.8,38.6,0.472,D1392
125.8,24.2,0.718,D1393
55.9,57.1,0.318,D1394
88.5,71.4,0.251,D1395
69.1,79.0,0.225,D1396
91.3,33.8,0.616,D1397
111.2,38.7,0.511,D1398
46.0,66.6,0.38,D1399
96.8,62.7,0.256,D1400
111.6,55.7,0.461,D1401
90.9,73.3,0.312,D1402
101.5,56.0,0.336,D1403
53.5,74.9,0.298,D1404
86.1,26.3,0.678,D1405
26.7,57.4,0.411,D1406
68.6,74.8,0.268,D1407
112.0,61.5,0.35,D1408
33.1,72.9,0.177,D1409
66.6,58.9,0.395,D1410
98.4,76.8,0.308,D1411
113.6,42.9,0.523,D1412
66.5,39.5,0.603,D1413
82.8,75.7,0.165,D1414
110.0,31.0,0.609,D1415
118.8,46.2,0.357,D1416
94.2,25.2,0.602,D1417
90.3,78.9,0.164,D1418
76.7,22.8,0.591,D1419
82.5,32.4,0.634,D1420
87.1,29.5,0.509,D1421
108.0,45.8,0.434,D1422
98.7,57.9,0.358,D1423
106.4,38.5,0.498,D1424
121.3,21.3,0.622,D1425
88.9,39.4,0.505,D1426
93.5,64.3,0.372,D1427
118.1,20.9,0.593,D1428
117.0,27.0,0.614,D1429
18.8,70.3,0.206,D1430
101.1,27.2,0.531,D1431
87.8,51.3,0.488,D1432
50.3,72.9,0.201,D1433
64.4,77.5,0.222,D1434
72.3,47.2,0.51,D1435
128.8,26.8,0.602,D1436
97.9,25.0,0.6,D1437
64.8,64.3,0.221,D1438
93.5,40.7,0.479,D1439
66.7,78.7,0.247,D1440
88.5,40.2,0.486,D1441
112.8,55.8,0.472,D1442
64.5,51.3,0.459,D1443
126.7,26.2,0.585,D1444
108.8,56.8,0.302,D1445
84.8,50.1,0.325,D1446
85.9,48.5,0.529,D1447
90.9,51.6,0.328,D1448
40.9,47.6,0.469,D1449
63.8,54.4,0.311,D1450
71.5,51.3,0.377,D1451
78.2,62.8,0.265,D1452
82.5,77.7,0.282,D1453
75.7,58.3,0.285,D1454
95.0,64.9,0.257,D1455
77.4,56.3,0.409,D1456
88.8,64.9,0.383,D1457
107.9,20.9,0.704,D1458
51.9,51.8,0.454,D1459
108.6,51.8,0.438,D1460
107.4,66.2,0.26,D1461
109.6,60.7,0.305,D1462
74.8,46.6,0.452,D1463
113.7,47.4,0.487,D1464
79.1,48.1,0.404,D1465
74.7,62.0,0.281,D1466
80.3,64.5,0.218,D1467
73.0,66.4,0.333,D1468
120.0,35.4,0.557,D1469
92.1,25.1,0.669,D1470
65.3,64.0,0.374,D1471
118.2,37.4,0.58,D1472
62.8,59.9,0.252,D1473
126.1,23.8,0.665,D1474
117.0,23.8,0.638,D1475
91.7,68.5,0.383,D1476
71.9,45.5,0.432,D1477
113.8,31.4,0.576,D1478
80.5,32.5,0.607,D1479
82.9,66.7,0.332,D1480
113.2,48.6,0.338,D1481
130.8,33.8,0.611,D1482
64.2,50.6,0.378,D1483
117.9,24.8,0.528,D1484
74.0,70.9,0.261,D1485
34.6,79.6,0.124,D1486
73.1,53.9,0.35,D1487
106.8,45.2,0.52,D1488
35.8,69.3,0.361,D1489
80.9,34.3,0.619,D1490
88.4,43.9,0.488,D1491
81.6,68.8,0.318,D1492
106.8,45.8,0.459,D1493
97.8,72.0,0.282,D1494
104.8,38.2,0.51,D1495
64.9,49.1,0.344,D1496
79.4,37.1,0.516,D1497
118.7,25.9,0.634,D1498
121.4,29.9,0.504,D1499
46.5,57.9,0.345,D1500
55.0,27.0,0.57,D1501
31.1,67.6,0.232,D1502
128.6,22.1,0.602,D1503
130.3,29.1,0.489,D1504
99.7,67.8,0.291,D1505
63.8,37.6,0.507,D1506
129.6,32.8,0.586,D1507
89.3,72.2,0.293,D1508
83.5,46.5,0.446,D1509
95.4,51.9,0.331,D1510
113.3,41.9,0.511,D1511
77.9,46.8,0.548,D1512
26.3,58.4,0.3,D1513
104.9,69.2,0.347,D1514
117.8,40.6,0.497,D1515
117.2,48.3,0.526,D1516
110.7,49.3,0.436,D1517
101.4,36.1,0.499,D1518
84.1,52.0,0.485,D1519
87.3,53.5,0.44,D1520
90.5,78.4,0.26,D1521
88.7,63.0,0.252,D1522
117.2,33.1,0.628,D1523
108.3,57.7,0.455,D1524
59.6,24.6,0.615,D1525
83.6,21.3,0.732,D1526
71.1,70.4,0.229,D1527
116.7,24.1,0.643,D1528
99.3,57.0,0.369,D1529
116.9,33.5,0.584,D1530
91.0,23.9,0.596,D1531
120.1,29.9,0.631,D1532
80.1,49.5,0.343,D1533
54.3,60.0,0.433,D1534
64.1,61.3,0.416,D1535
93.9,77.1,0.143,D1536
110.1,37.5,0.427,D1537
72.4,77.4,0.189,D1538
51.5,79.5,0.238,D1539
78.8,21.2,0.557,D1540
33.2,73.2,0.292,D1541
65.3,46.0,0.445,D1542
94.0,78.4,0.114,D1543
31.9,56.8,0.285,D1544
78.9,58.3,0.366,D1545
71.6,37.2,0.529,D1546
41.9,75.8,0.182,D1547
124.1,31.8,0.561,D1548
104.0,59.9,0.278,D1549
75.5,43.0,0.479,D1550
124.3,40.9,0.465,D1551
104.2,33.7,0.613,D1552
11.3,65.1,0.394,D1553
67.0,65.9,0.351,D1554
101.6,59.9,0.36,D1555
76.3,45.5,0.382,D1556
99.1,50.9,0.331,D1557
60.2,39.7,0.442,D1558
53.4,66.4,0.268,D1559
28.7,75.2,0.327,D1560
112.8,47.1,0.54,D1561
109.4,58.9,0.398,D1562
103.1,52.8,0.48,D1563
102.9,65.1,0.353,D1564
94.7,40.2,0.592,D1565
78.5,76.4,0.171,D1566
51.2,64.2,0.352,D1567
83.8,51.1,0.503,D1568
100.5,53.0,0.359,D1569
66.0,42.8,0.44,D1570
84.4,79.6,0.275,D1571
81.1,38.0,0.535,D1572
120.0,38.3,0.469,D1573
78.3,66.3,0.294,D1574
23.9,61.2,0.419,D1575
121.8,22.0,0.589,D1576
92.5,49.8,0.342,D1577
77.2,44.3,0.468,D1578
110.5,63.0,0.333,D1579
48.4,21.9,0.691,D1580
88.2,60.5,0.272,D1581
118.2,50.8,0.434,D1582
97.3,58.0,0.422,D1583
83.3,23.7,0.607,D1584
98.1,65.3,0.288,D1585
95.4,66.5,0.36,D1586
119.6,47.7,0.488,D1587
124.0,37.5,0.616,D1588
71.5,59.9,0.278,D1589
80.0,25.5,0.636,D1590
36.9,49.0,0.481,D1591
84.4,31.6,0.656,D1592
61.6,55.1,0.379,D1593
110.0,57.9,0.362,D1594
56.9,70.3,0.235,D1595
102.1,61.9,0.346,D1596
114.0,58.7,0.379,D1597
117.4,30.0,0.563,D1598
36.1,28.2,0.495,D1599
102.7,39.5,0.438,D1600
65.2,77.0,0.134,D1601
38.3,72.6,0.199,D1602
118.1,25.3,0.518,D1603
88.9,64.5,0.257,D1604
101.7,29.6,0.644,D1605
54.2,53.8,0.486,D1606
56.8,63.7,0.321,D1607
98.2,71.9,0.261,D1608
77.8,66.1,0.347,D1609
59.7,76.6,0.226,D1610
73.8,43.7,0.453,D1611
96.9,40.7,0.486,D1612
98.9,79.6,0.154,D1613
80.5,42.7,0.426,D1614
67.7,49.1,0.415,D1615
47.0,51.2,0.411,D1616
103.5,71.1,0.295,D1617
107.8,26.8,0.628,D1618
98.0,78.0,0.301,D1619
112.1,40.7,0.431,D1620
71.4,43.7,0.395,D1621
56.4,78.3,0.262,D1622
117.5,29.5,0.58,D1623
73.1,75.5,0.268,D1624
84.6,35.6,0.454,D1625
85.5,57.7,0.347,D1626
106.8,65.1,0.322,D1627
76.6,59.4,0.393,D1628
113.2,38.8,0.49,D1629
83.0,28.3,0.55,D1630
79.6,37.0,0.518,D1631
72.6,63.9,0.272,D1632
89.0,73.4,0.249,D1633
126.7,24.7,0.567,D1634
49.7,49.6,0.404,D1635
100.2,33.8,0.453,D1636
89.6,76.3,0.166,D1637
111.9,41.1,0.54,D1638
87.3,65.3,0.408,D1639
57.9,72.8,0.195,D1640
122.9,29.5,0.519,D1641
97.3,32.4,0.618,D1642
45.5,40.8,0.508,D1643
90.5,78.5,0.219,D1644
74.7,33.7,0.569,D1645
44.5,70.8,0.337,D1646
86.3,78.3,0.203,D1647
130.0,32.0,0.511,D1648
77.4,73.3,0.152,D1649
117.6,42.4,0.555,D1650
97.1,73.2,0.264,D1651
62.6,38.1,0.485,D1652
107.0,40.4,0.495,D1653
75.3,57.3,0.301,D1654
67.2,72.7,0.212,D1655
78.7,66.7,0.339,D1656
105.3,24.4,0.69,D1657
104.3,67.5,0.347,D1658
99.1,72.4,0.252,D1659
84.4,47.3,0.372,D1660
56.3,61.3,0.388,D1661
100.1,54.7,0.321,D1662
63.4,77.1,0.312,D1663
79.3,42.5,0.418,D1664
82.0,46.9,0.405,D1665
132.2,24.6,0.603,D1666
52.1,41.6,0.541,D1667
48.6,54.8,0.403,D1668
95.3,50.1,0.448,D1669
80.8,35.9,0.586,D1670
48.8,69.4,0.359,D1671
104.2,36.8,0.511,D1672
83.7,61.8,0.424,D1673
97.1,32.3,0.52,D1674
128.9,32.7,0.505,D1675
33.4,56.7,0.369,D1676
105.1,58.5,0.392,D1677
104.4,47.5,0.403,D1678
37.8,43.8,0.374,D1679
71.1,42.6,0.485,D1680
93.1,32.9,0.604,D1681
82.2,41.2,0.436,D1682
36.4,65.3,0.301,D1683
79.5,72.3,0.334,D1684
78.2,76.8,0.233,D1685
115.1,48.2,0.392,D1686
104.2,29.7,0.553,D1687
69.8,47.2,0.364,D1688
83.1,54.2,0.491,D1689
113.5,59.5,0.345,D1690
89.7,75.3,0.273,D1691
59.4,56.5,0.376,D1692
109.0,60.0,0.444,D1693
33.6,61.9,0.279,D1694
74.6,70.6,0.37,D1695
52.7,71.6,0.189,D1696
86.6,33.1,0.647,D1697
40.6,68.1,0.294,D1698
121.4,25.2,0.603,D1699
102.8,37.5,0.549,D1700
65.6,24.8,0.644,D1701
57.0,71.5,0.277,D1702
99.9,71.0,0.309,D1703
129.2,34.8,0.551,D1704
47.5,62.7,0.394,D1705
113.4,51.8,0.497,D1706
87.6,41.3,0.537,D1707
132.7,24.8,0.616,D1708
105.5,22.0,0.557,D1709
92.7,76.8,0.238,D1710
49.9,78.8,0.194,D1711
45.0,67.3,0.335,D1712
107.7,43.0,0.434,D1713
63.7,56.2,0.341,D1714
88.7,74.8,0.308,D1715
32.7,58.8,0.269,D1716
82.6,37.9,0.527,D1717
51.6,33.8,0.633,D1718
43.5,40.7,0.493,D1719
61.3,37.5,0.544,D1720
75.2,53.5,0.488,D1721
44.2,60.3,0.253,D1722
73.7,63.1,0.418,D1723
82.9,57.8,0.364,D1724
70.8,25.4,0.621,D1725
123.3,35.4,0.584,D1726
105.8,40.2,0.53,D1727
55.1,35.3,0.512,D1728
118.7,22.2,0.542,D1729
115.1,51.8,0.491,D1730
133.2,30.0,0.551,D1731
139.0,20.5,0.743,D1732
109.8,65.3,0.288,D1733
121.4,21.2,0.611,D1734
41.9,45.7,0.494,D1735
18.3,73.7,0.165,D1736
73.1,43.4,0.397,D1737
99.3,60.8,0.362,D1738
81.7,55.7,0.357,D1739
85.8,73.7,0.302,D1740
65.1,73.1,0.214,D1741
92.9,64.4,0.299,D1742
93.8,78.4,0.136,D1743
49.6,37.6,0.423,D1744
128.6,36.1,0.461,D1745
78.3,77.3,0.295,D1746
