site,country,enrolled,screen_fail_pct,deviations,open_queries,query_age_days,dropout_pct,days_since_visit
S0484,CA,21,22.3,2,7,10.0,5.0,91.0
S0485,CA,19,31.7,3,4,40.0,13.0,88.0
S0486,PL,20,21.5,1,9,3.0,11.8,82.0
S0487,DE,15,12.5,0,8,11.0,4.3,97.0
S0488,PL,14,27.0,0,7,1.0,13.4,62.0
S0489,AU,15,33.7,2,4,9.0,0.0,59.0
S0490,DE,15,0.0,0,3,13.0,12.4,79.0
S0491,BR,16,26.9,4,20,54.0,8.0,267.0
S0492,US,16,16.2,2,8,3.0,4.4,51.0
S0493,US,21,20.8,3,8,3.0,3.0,69.0
S0494,IN,17,39.9,0,4,7.0,13.1,72.0
S0495,US,21,36.1,0,5,2.0,11.0,85.0
S0496,BR,23,44.7,3,6,1.0,14.5,56.0
S0497,US,17,38.3,1,4,8.0,13.5,62.0
S0498,IN,16,6.0,2,6,3.0,15.7,23.0
S0499,PL,22,11.8,0,6,2.0,0.0,84.0
S0500,AU,20,26.2,1,8,6.0,2.8,70.0
S0501,DE,14,31.2,0,6,3.0,1.7,80.0
S0502,DE,19,26.0,1,2,5.0,6.5,84.0
S0503,DE,13,31.0,3,4,1.0,3.4,36.0
S0504,IN,16,49.1,3,2,20.0,14.6,49.0
S0505,PL,19,33.6,2,9,4.0,21.2,38.0
S0506,US,20,29.8,3,4,2.0,13.8,64.0
S0507,DE,17,14.1,1,4,1.0,9.7,107.0
S0508,US,18,39.3,0,10,18.0,11.3,95.0
S0509,US,16,12.9,0,2,0.0,8.5,116.0
S0510,IN,21,35.7,2,7,5.0,6.6,80.0
S0511,AU,21,2.2,0,6,31.0,5.5,70.0
S0512,AU,16,6.1,0,6,4.0,5.1,100.0
S0513,US,17,23.4,2,5,13.0,10.9,22.0
S0514,DE,19,31.6,0,11,14.0,11.0,135.0
S0515,CA,13,12.6,2,3,5.0,4.9,78.0
S0516,JP,10,14.4,0,6,2.0,0.4,58.0
S0517,DE,18,24.5,1,4,6.0,10.7,41.0
S0518,PL,16,11.3,2,5,8.0,17.9,94.0
S0519,CA,31,20.1,2,4,3.0,15.6,29.0
S0520,US,23,6.6,1,8,1.0,2.4,58.0
S0521,JP,20,31.5,0,6,8.0,11.4,14.0
S0522,US,16,18.2,3,9,0.0,4.5,50.0
S0523,US,16,32.3,3,12,14.0,13.9,56.0
S0524,BR,16,15.6,3,6,0.0,4.1,56.0
S0525,US,16,23.5,3,7,25.0,0.0,81.0
S0526,PL,18,24.2,1,8,1.0,11.3,71.0
S0527,DE,22,25.6,0,10,10.0,9.8,102.0
S0528,US,19,22.2,2,6,4.0,15.1,62.0
S0529,IN,11,22.4,1,2,29.0,10.6,23.0
S0530,US,15,24.6,1,6,3.0,8.8,26.0
S0531,US,14,7.5,1,4,11.0,10.0,122.0
S0532,AU,11,24.9,1,8,11.0,7.5,5.0
S0533,US,14,17.2,1,3,2.0,9.4,31.0
S0534,US,22,25.5,4,3,9.0,10.4,97.0
S0535,JP,21,15.1,0,6,7.0,10.1,71.0
S0536,US,25,0.6,0,4,7.0,5.2,124.0
S0537,PL,21,27.2,1,1,4.0,7.9,100.0
S0538,US,18,25.7,2,3,16.0,0.0,58.0
S0539,US,15,26.5,3,3,7.0,4.6,118.0
S0540,AU,20,9.7,1,6,5.0,8.5,103.0
S0541,JP,17,23.6,2,4,4.0,0.5,87.0
S0542,AU,17,25.1,1,10,5.0,3.8,49.0
S0543,CA,18,23.5,1,2,2.0,5.3,94.0
S0544,IN,14,14.5,2,3,16.0,6.2,45.0
S0545,US,17,32.6,0,7,13.0,0.0,114.0
S0546,IN,15,30.1,0,8,21.0,13.6,65.0
S0547,US,19,12.7,2,3,1.0,11.5,76.0
S0548,US,19,25.6,1,7,5.0,12.4,41.0
S0549,CA,13,36.3,4,8,7.0,10.1,119.0
S0550,DE,18,12.5,2,5,9.0,9.9,66.0
S0551,PL,17,4.9,1,6,26.0,9.7,56.0
S0552,BR,16,23.9,0,12,4.0,5.2,42.0
S0553,PL,28,20.4,1,0,1.0,11.6,36.0
S0554,IN,13,13.4,1,5,2.0,7.7,98.0
S0555,AU,19,25.2,3,6,22.0,12.9,127.0
S0556,JP,20,21.2,1,9,11.0,10.0,79.0
S0557,CA,20,24.7,2,11,10.0,15.0,52.0
S0558,CA,21,29.4,2,8,0.0,1.9,93.0
S0559,BR,13,10.3,3,6,1.0,5.9,65.0
S0560,JP,31,8.5,0,4,2.0,14.5,82.0
S0561,JP,15,28.4,1,9,5.0,10.3,157.0
S0562,IN,15,27.4,2,5,5.0,11.9,72.0
S0563,US,15,19.6,2,2,8.0,12.6,96.0
S0564,JP,15,20.2,0,9,3.0,7.2,125.0
S0565,IN,18,38.1,1,4,11.0,3.8,123.0
S0566,DE,22,36.5,2,5,1.0,5.4,82.0
S0567,US,9,28.5,0,8,13.0,6.5,70.0
S0568,US,19,19.7,3,10,3.0,6.2,50.0
S0569,PL,15,38.8,1,10,23.0,3.8,108.0
S0570,CA,25,14.9,1,2,3.0,8.1,68.0
S0571,CA,22,21.5,2,7,4.0,8.7,81.0
S0572,IN,15,13.8,0,6,17.0,6.2,70.0
S0573,BR,18,30.9,2,5,4.0,6.1,84.0
S0574,US,8,27.0,1,3,12.0,0.0,79.0
S0575,CA,20,36.2,1,6,6.0,6.9,31.0
S0576,JP,11,19.4,1,4,28.0,11.2,60.0
S0577,IN,17,26.0,3,2,2.0,7.8,61.0
S0578,US,10,15.1,0,12,5.0,8.4,93.0
S0579,PL,13,6.2,4,5,0.0,13.7,70.0
S0580,US,23,12.8,2,5,8.0,12.2,48.0
S0581,AU,19,31.9,2,4,5.0,5.1,81.0
S0582,IN,21,13.1,1,7,10.0,5.5,40.0
S0583,BR,6,9.8,2,6,8.0,11.3,50.0
S0584,IN,19,25.5,1,7,14.0,6.9,97.0
S0585,US,13,27.0,0,5,3.0,8.7,79.0
S0586,JP,18,24.5,1,4,8.0,13.9,93.0
S0587,US,23,36.2,2,5,11.0,13.5,55.0
S0588,US,19,17.2,3,8,11.0,10.4,76.0
S0589,US,17,25.1,2,6,18.0,10.4,59.0
S0590,US,12,31.2,1,2,15.0,4.4,59.0
S0591,DE,21,17.5,2,5,11.0,2.9,94.0
S0592,US,25,22.7,4,7,5.0,7.1,60.0
S0593,US,13,10.1,1,4,5.0,9.7,60.0
S0594,DE,16,15.0,1,10,3.0,10.8,13.0
S0595,AU,17,21.5,3,6,16.0,6.6,79.0
S0596,IN,16,8.0,2,5,3.0,5.7,66.0
S0597,JP,17,12.9,2,4,5.0,6.9,78.0
S0598,US,19,9.3,0,8,3.0,6.6,94.0
S0599,US,18,9.3,3,4,1.0,10.6,96.0
S0600,DE,24,24.6,1,10,3.0,0.0,77.0
S0601,IN,12,20.9,5,2,5.0,11.3,49.0
S0602,CA,14,3.9,3,6,0.0,4.9,24.0
S0603,JP,12,10.9,1,4,2.0,6.1,44.0
S0604,CA,10,27.7,4,4,7.0,6.0,39.0
S0605,PL,18,34.5,0,4,32.0,8.7,69.0
S0606,CA,20,7.7,2,4,4.0,9.3,102.0
S0607,DE,21,21.3,4,5,18.0,10.7,74.0
S0608,JP,23,20.0,0,5,8.0,1.7,48.0
S0609,US,13,13.8,1,8,6.0,2.1,108.0
S0610,BR,19,20.0,1,8,5.0,4.2,47.0
S0611,US,23,11.8,1,5,5.0,12.9,89.0
S0612,JP,32,26.5,0,6,8.0,0.4,113.0
S0613,US,19,7.1,1,9,8.0,0.0,80.0
S0614,JP,19,19.2,1,12,15.0,12.7,81.0
S0615,US,29,25.3,0,4,17.0,0.0,13.0
S0616,US,15,30.0,2,9,3.0,8.4,13.0
S0617,JP,14,15.0,1,7,1.0,7.5,27.0
S0618,JP,22,24.8,0,10,5.0,8.5,59.0
S0619,BR,24,12.2,1,9,23.0,5.2,93.0
S0620,US,23,16.9,1,5,2.0,13.5,27.0
S0621,JP,18,21.6,1,2,22.0,15.2,62.0
S0622,US,17,25.6,2,8,5.0,14.5,9.0
S0623,US,22,27.7,1,4,1.0,10.3,64.0
S0624,DE,24,17.3,2,6,8.0,8.5,62.0
S0625,IN,23,39.2,3,7,19.0,0.0,30.0
S0626,DE,9,18.8,3,10,2.0,8.7,5.0
S0627,IN,20,26.1,3,5,0.0,11.5,102.0
S0628,PL,12,29.4,2,7,46.0,7.2,113.0
S0629,US,20,31.9,0,6,6.0,6.6,62.0
S0630,US,14,26.5,1,4,22.0,3.2,58.0
S0631,US,16,28.1,0,10,2.0,4.5,81.0
S0632,BR,20,21.9,2,6,2.0,11.3,44.0
S0633,JP,14,21.3,2,3,7.0,20.4,123.0
S0634,BR,13,28.0,2,10,2.0,9.0,62.0
S0635,US,17,27.3,3,8,1.0,2.3,80.0
S0636,US,19,30.0,0,1,1.0,14.1,63.0
S0637,US,14,10.0,2,9,9.0,13.8,162.0
S0638,PL,20,38.0,2,4,25.0,13.7,64.0
S0639,IN,25,32.3,0,6,3.0,11.4,59.0
S0640,DE,20,29.8,1,0,18.0,7.4,108.0
S0641,CA,16,32.9,1,13,5.0,0.0,55.0
S0642,US,18,22.4,1,3,12.0,13.0,50.0
S0643,US,27,35.3,0,3,25.0,7.8,75.0
S0644,DE,22,32.4,4,6,30.0,11.2,122.0
S0645,IN,23,35.3,2,7,3.0,3.5,116.0
S0646,AU,16,22.0,2,3,0.0,5.6,115.0
S0647,JP,25,16.4,2,1,5.0,7.6,77.0
S0648,US,16,9.8,1,5,35.0,6.7,110.0
S0649,BR,11,31.7,0,5,7.0,7.5,9.0
S0650,US,16,14.4,3,6,36.0,4.2,5.0
S0651,PL,12,15.2,5,5,12.0,9.5,92.0
S0652,DE,27,31.6,3,5,8.0,8.0,66.0
S0653,US,22,24.1,0,3,16.0,12.5,161.0
S0654,US,18,22.0,3,7,11.0,12.0,71.0
S0655,CA,26,14.5,1,5,16.0,8.0,152.0
S0656,CA,21,25.1,0,7,0.0,1.8,69.0
S0657,US,20,5.8,2,9,8.0,19.1,51.0
S0658,AU,12,15.5,3,3,9.0,4.1,129.0
S0659,CA,19,29.2,3,9,8.0,17.4,65.0
S0660,DE,18,33.2,0,5,6.0,9.5,44.0
S0661,US,17,17.6,1,5,28.0,5.1,89.0
S0662,US,16,22.1,1,6,11.0,17.7,95.0
S0663,JP,16,22.1,1,6,1.0,9.1,93.0
S0664,US,17,9.9,1,6,19.0,8.2,106.0
S0665,US,15,30.6,1,5,10.0,5.0,57.0
S0666,US,24,26.6,0,8,6.0,1.2,64.0
S0667,CA,18,29.0,0,10,13.0,12.6,64.0
S0668,US,9,27.5,1,4,12.0,11.7,77.0
S0669,AU,35,16.6,2,7,1.0,2.9,20.0
S0670,JP,10,25.9,1,3,14.0,16.5,109.0
S0671,IN,14,38.9,2,10,2.0,1.4,25.0
S0672,JP,10,22.5,1,5,0.0,0.0,76.0
S0673,AU,19,16.2,2,5,3.0,6.0,5.0
S0674,US,19,9.3,1,3,16.0,0.0,95.0
S0675,US,11,38.3,1,10,10.0,7.9,51.0
S0676,JP,22,1.1,3,6,3.0,12.1,77.0
S0677,JP,13,19.4,2,2,2.0,17.1,79.0
S0678,DE,15,27.6,2,3,9.0,4.3,81.0
S0679,DE,21,12.2,2,5,14.0,10.6,51.0
S0680,US,15,37.3,1,3,3.0,4.1,21.0
S0681,JP,14,29.8,1,5,1.0,12.8,91.0
S0682,CA,21,35.7,2,8,4.0,13.6,86.0
S0683,CA,21,25.9,1,7,15.0,2.8,65.0
S0684,DE,20,13.4,3,3,0.0,8.3,39.0
S0685,AU,23,37.5,3,13,12.0,8.5,116.0
S0686,AU,15,22.7,1,8,12.0,11.8,73.0
S0687,DE,21,16.3,3,6,5.0,0.0,70.0
S0688,US,16,20.1,2,7,14.0,4.4,55.0
S0689,CA,26,17.2,2,4,32.0,2.1,86.0
S0690,AU,16,23.3,1,4,13.0,11.3,29.0
S0691,IN,11,8.7,1,6,9.0,6.3,66.0
S0692,AU,18,24.8,3,7,12.0,2.2,97.0
S0693,JP,19,17.8,1,6,6.0,7.0,128.0
S0694,BR,13,22.4,2,4,7.0,10.6,119.0
S0695,US,22,19.9,3,4,5.0,13.9,56.0
S0696,DE,12,27.3,3,11,2.0,4.7,95.0
S0697,AU,18,16.0,0,5,3.0,0.0,39.0
S0698,US,18,37.0,2,5,3.0,9.3,81.0
S0699,US,12,34.7,2,7,7.0,4.9,48.0
S0700,US,14,22.2,2,4,8.0,6.7,97.0
S0701,JP,13,17.6,2,10,4.0,8.8,114.0
S0702,BR,15,11.5,2,5,7.0,4.5,82.0
S0703,BR,20,19.8,2,9,10.0,14.0,50.0
S0704,CA,16,34.6,2,10,1.0,14.8,72.0
S0705,IN,14,12.2,0,7,13.0,11.4,71.0
S0706,IN,21,31.1,0,10,24.0,8.5,37.0
S0707,BR,25,22.6,0,8,1.0,9.0,9.0
S0708,JP,17,25.3,0,20,162.0,6.0,66.0
S0709,US,14,22.5,4,8,0.0,0.3,39.0
S0710,US,23,17.6,0,6,9.0,3.0,73.0
S0711,IN,22,20.3,2,5,24.0,11.6,22.0
S0712,US,21,24.6,2,6,17.0,1.4,49.0
S0713,DE,16,26.8,1,2,8.0,3.5,58.0
S0714,IN,16,31.0,1,4,14.0,13.3,68.0
S0715,BR,21,33.6,0,7,13.0,8.2,71.0
S0716,US,14,18.7,1,8,2.0,9.3,76.0
S0717,US,19,27.5,2,4,9.0,20.3,94.0
S0718,US,18,21.4,1,5,13.0,12.0,61.0
S0719,IN,13,12.4,1,9,9.0,2.6,119.0
S0720,IN,19,24.9,1,10,4.0,6.2,37.0
S0721,US,21,24.7,2,3,1.0,1.7,54.0
S0722,US,21,12.0,1,8,16.0,10.8,62.0
S0723,US,17,32.1,2,6,11.0,10.2,56.0
S0724,BR,17,32.4,1,6,10.0,6.5,57.0
S0725,US,14,22.3,3,3,1.0,6.8,96.0
S0726,CA,16,18.8,1,10,13.0,9.4,47.0
S0727,US,14,27.2,1,5,1.0,5.7,81.0
S0728,IN,15,17.6,0,11,12.0,7.3,69.0
S0729,IN,15,0.4,0,4,6.0,3.9,68.0
S0730,AU,13,22.2,3,8,9.0,9.4,71.0
S0731,IN,19,20.3,1,4,6.0,6.1,124.0
S0732,AU,18,14.9,1,4,17.0,0.3,96.0
S0733,BR,22,20.9,2,3,4.0,12.2,55.0
S0734,US,21,16.6,2,5,20.0,0.6,70.0
S0735,DE,12,20.4,0,3,1.0,8.5,51.0
S0736,PL,21,31.5,2,10,0.0,9.4,28.0
S0737,DE,16,27.5,0,2,8.0,0.0,80.0
S0738,IN,14,15.8,2,5,24.0,0.5,43.0
S0739,US,20,16.3,0,8,1.0,9.8,57.0
S0740,IN,18,36.6,1,5,8.0,11.7,60.0
S0741,DE,16,19.9,0,3,9.0,3.8,84.0
S0742,AU,17,21.7,0,8,7.0,11.6,60.0
S0743,US,17,23.6,0,5,21.0,12.3,75.0
S0744,DE,19,20.6,1,7,12.0,11.8,83.0
S0745,PL,12,38.3,1,10,1.0,9.2,116.0
S0746,DE,16,42.9,0,6,20.0,10.0,72.0
S0747,JP,14,19.0,0,7,9.0,3.9,114.0
S0748,DE,29,35.3,1,7,3.0,8.3,96.0
S0749,US,21,33.8,0,8,4.0,10.4,33.0
S0750,DE,19,10.7,1,8,10.0,10.6,72.0
S0751,CA,19,16.6,0,9,11.0,15.2,61.0
S0752,PL,19,44.4,1,10,28.0,7.7,81.0
S0753,DE,15,30.4,4,6,1.0,14.8,97.0
S0754,IN,15,19.1,3,3,16.0,9.2,31.0
S0755,PL,23,15.1,4,25,6.0,11.2,189.0
S0756,PL,21,18.0,2,8,0.0,8.1,32.0
S0757,US,13,20.5,1,3,8.0,8.2,30.0
S0758,US,18,32.7,1,10,3.0,10.3,56.0
S0759,AU,18,31.9,0,7,1.0,14.6,65.0
S0760,US,10,28.1,3,5,2.0,2.8,60.0
S0761,PL,20,25.2,0,10,11.0,5.4,58.0
S0762,IN,15,12.3,2,7,3.0,8.3,119.0
S0763,CA,24,12.3,3,9,6.0,13.0,93.0
S0764,US,23,36.2,2,4,7.0,7.5,86.0
S0765,AU,20,14.6,2,4,1.0,14.0,117.0
S0766,CA,13,11.0,1,7,11.0,4.5,78.0
S0767,US,13,26.6,2,8,12.0,4.6,39.0
S0768,IN,14,24.5,4,1,13.0,13.1,34.0
S0769,US,14,17.9,2,3,8.0,1.4,86.0
S0770,CA,27,31.1,1,11,0.0,8.8,121.0
S0771,DE,25,36.9,1,6,1.0,5.7,72.0
S0772,PL,20,24.9,1,4,19.0,8.2,71.0
S0773,PL,15,5.3,1,4,17.0,11.6,90.0
S0774,US,17,15.9,0,6,18.0,10.3,158.0
S0775,CA,23,13.8,4,7,3.0,5.6,90.0
S0776,US,18,28.0,0,8,4.0,4.6,142.0
S0777,US,18,10.2,4,3,1.0,7.7,96.0
S0778,JP,23,36.0,1,2,7.0,3.9,79.0
S0779,US,24,20.5,1,4,1.0,14.5,53.0
S0780,IN,17,8.7,1,3,5.0,3.2,72.0
S0781,US,20,21.6,2,6,5.0,0.4,45.0
S0782,IN,22,32.1,0,9,6.0,9.5,93.0
S0783,PL,20,22.0,4,2,19.0,7.5,89.0
S0784,AU,15,22.5,2,6,11.0,0.0,89.0
S0785,DE,22,14.8,1,10,14.0,4.9,62.0
S0786,US,19,31.8,2,5,9.0,13.6,47.0
S0787,BR,14,13.5,0,8,5.0,5.7,57.0
S0788,IN,22,29.6,0,5,8.0,7.1,117.0
S0789,AU,14,17.7,1,7,7.0,1.8,42.0
S0790,BR,13,27.6,2,9,10.0,2.9,27.0
S0791,JP,18,29.0,1,5,11.0,11.0,5.0
S0792,US,21,26.8,0,5,7.0,12.5,73.0
S0793,IN,17,9.0,1,6,2.0,8.7,94.0
S0794,IN,25,6.0,1,7,2.0,11.5,103.0
S0795,US,18,15.4,1,4,4.0,14.1,83.0
S0796,US,12,14.9,0,5,7.0,5.3,26.0
S0797,US,25,27.9,1,10,10.0,3.0,56.0
S0798,JP,13,22.1,2,6,9.0,2.3,70.0
S0799,DE,17,26.2,1,11,4.0,14.9,70.0
S0800,US,15,16.8,2,5,6.0,12.1,79.0
S0801,BR,11,13.4,1,8,17.0,15.8,84.0
S0802,IN,16,23.4,0,7,3.0,0.0,62.0
S0803,DE,16,30.2,0,13,8.0,0.0,101.0
S0804,CA,20,22.0,1,5,11.0,12.3,76.0
S0805,US,14,12.1,1,2,23.0,10.7,69.0
S0806,US,13,28.3,1,5,3.0,0.0,113.0
S0807,IN,15,20.0,0,3,8.0,0.0,67.0
S0808,BR,20,12.5,1,8,18.0,9.0,99.0
S0809,PL,25,24.2,0,7,3.0,1.6,42.0
S0810,AU,18,20.2,2,6,27.0,7.0,87.0
S0811,JP,19,24.0,3,6,9.0,7.2,80.0
S0812,PL,15,41.3,2,9,18.0,9.0,33.0
S0813,IN,24,41.6,2,3,15.0,3.0,86.0
S0814,JP,24,21.7,3,6,4.0,12.3,91.0
S0815,JP,20,30.3,2,4,5.0,17.6,37.0
S0816,AU,19,13.8,2,7,3.0,10.6,102.0
S0817,DE,20,2.7,2,2,18.0,9.4,138.0
S0818,JP,14,23.3,0,5,28.0,7.7,53.0
S0819,JP,18,28.4,1,7,0.0,7.6,79.0
S0820,IN,16,12.1,4,8,9.0,3.6,48.0
S0821,US,14,25.6,1,6,4.0,5.0,69.0
S0822,IN,19,20.7,0,8,4.0,3.3,95.0
S0823,US,18,9.0,3,6,3.0,1.4,30.0
S0824,DE,14,16.9,0,13,9.0,15.2,69.0
S0825,JP,17,17.2,3,5,15.0,8.6,87.0
S0826,BR,14,16.1,2,10,10.0,0.1,62.0
S0827,BR,14,30.7,1,3,1.0,8.2,115.0
S0828,BR,24,26.4,2,7,5.0,2.2,63.0
S0829,US,7,26.9,1,3,16.0,13.9,54.0
S0830,DE,9,16.2,4,5,1.0,2.5,58.0
S0831,IN,23,0.0,0,7,0.0,11.2,113.0
S0832,DE,19,10.0,0,4,12.0,12.6,15.0
S0833,CA,16,32.4,0,7,4.0,17.7,114.0
S0834,BR,17,30.0,1,8,3.0,2.2,59.0
S0835,BR,14,20.2,2,3,8.0,5.6,107.0
S0836,IN,15,3.9,2,10,29.0,15.2,10.0
S0837,AU,18,20.7,0,7,18.0,10.6,101.0
S0838,US,14,20.2,2,4,3.0,1.6,93.0
S0839,US,19,11.0,0,8,2.0,14.9,48.0
S0840,US,11,17.4,2,3,6.0,2.9,23.0
S0841,US,19,29.8,4,8,3.0,16.0,35.0
S0842,US,19,21.9,0,6,11.0,10.8,85.0
S0843,AU,23,19.2,3,7,9.0,6.5,17.0
S0844,US,21,20.0,2,8,0.0,8.7,99.0
S0845,JP,20,30.0,3,5,10.0,0.2,119.0
S0846,CA,13,6.6,1,5,1.0,4.6,97.0
S0847,JP,19,15.3,2,7,13.0,1.1,59.0
S0848,US,11,13.1,0,9,7.0,8.7,40.0
S0849,US,9,7.2,1,8,13.0,4.7,56.0
S0850,JP,14,30.9,2,6,21.0,1.8,80.0
S0851,DE,18,42.8,2,6,39.0,4.3,16.0
S0852,JP,17,21.0,0,4,0.0,5.8,86.0
S0853,DE,12,21.8,0,6,11.0,4.6,38.0
S0854,US,17,34.0,2,5,3.0,6.8,58.0
S0855,CA,10,16.4,1,5,0.0,17.6,82.0
S0856,AU,14,20.3,3,5,12.0,6.1,67.0
S0857,BR,18,13.0,1,4,7.0,7.8,94.0
S0858,US,15,21.4,2,5,9.0,10.0,71.0
S0859,CA,16,47.9,4,4,9.0,8.3,133.0
S0860,DE,20,25.7,0,4,14.0,9.2,74.0
S0861,DE,24,22.7,2,3,11.0,10.6,123.0
S0862,US,11,21.7,2,8,22.0,11.8,87.0
S0863,AU,15,18.4,1,4,1.0,4.3,47.0
S0864,IN,11,35.3,2,7,21.0,11.7,118.0
S0865,DE,16,23.5,1,3,15.0,0.0,85.0
S0866,DE,16,25.7,2,6,1.0,9.5,106.0
S0867,JP,21,24.1,1,4,5.0,6.9,39.0
S0868,DE,15,27.6,3,6,1.0,7.5,107.0
S0869,IN,19,24.2,2,4,4.0,7.3,105.0
S0870,AU,15,8.5,2,10,19.0,10.4,79.0
S0871,US,18,26.3,1,5,12.0,5.3,104.0
S0872,CA,21,20.1,2,7,1.0,8.9,90.0
S0873,CA,14,26.8,0,7,8.0,5.0,98.0
S0874,US,17,17.7,1,3,6.0,5.7,37.0
S0875,AU,15,11.2,1,10,8.0,5.7,57.0
S0876,CA,25,22.8,1,7,3.0,18.7,89.0
S0877,IN,17,17.8,3,6,4.0,10.5,97.0
S0878,US,16,16.9,2,10,8.0,15.9,12.0
S0879,JP,20,31.2,1,6,9.0,12.2,124.0
S0880,PL,28,25.5,1,6,4.0,11.9,45.0
S0881,BR,15,11.4,1,8,13.0,11.9,54.0
S0882,US,16,28.1,2,9,10.0,9.0,74.0
S0883,PL,13,19.8,2,5,3.0,7.7,41.0
S0884,DE,24,30.1,0,7,10.0,8.9,43.0
S0885,US,21,28.0,2,6,11.0,15.9,46.0
S0886,DE,23,31.1,1,1,11.0,1.9,62.0
S0887,US,21,17.2,1,8,26.0,0.0,78.0
S0888,DE,17,20.2,0,10,5.0,14.3,73.0
S0889,US,20,21.9,1,3,3.0,5.4,72.0
S0890,AU,17,2.0,2,5,13.0,9.7,88.0
S0891,US,22,12.4,1,11,5.0,9.0,83.0
S0892,DE,20,0.0,2,6,9.0,10.5,139.0
S0893,DE,16,24.0,3,8,6.0,8.4,67.0
S0894,JP,16,17.7,1,7,0.0,17.2,44.0
S0895,DE,18,26.5,0,5,0.0,16.3,37.0
S0896,CA,21,17.6,0,6,0.0,5.3,18.0
S0897,US,16,6.7,2,7,10.0,2.0,109.0
S0898,AU,17,31.4,1,4,49.0,7.0,60.0
S0899,DE,11,9.4,1,5,15.0,7.6,5.0
S0900,AU,16,31.7,2,4,12.0,10.6,80.0
S0901,DE,16,10.1,3,6,1.0,0.7,43.0
S0902,US,25,21.2,0,7,2.0,6.5,42.0
S0903,CA,16,30.6,0,5,1.0,5.1,84.0
S0904,US,14,27.1,1,4,10.0,6.8,44.0
S0905,PL,19,17.9,0,8,5.0,15.9,68.0
S0906,CA,17,27.5,2,3,31.0,6.6,18.0
S0907,US,13,19.0,1,9,13.0,6.7,79.0
S0908,DE,16,12.9,2,10,11.0,10.1,35.0
S0909,BR,17,23.5,1,11,2.0,8.6,56.0
S0910,CA,16,18.6,1,5,12.0,7.9,49.0
S0911,CA,16,0.7,1,8,0.0,9.8,31.0
S0912,JP,12,26.4,1,4,2.0,0.5,31.0
S0913,BR,14,24.3,0,6,8.0,15.4,43.0
S0914,PL,21,15.0,2,6,28.0,9.9,66.0
S0915,US,15,26.6,1,6,3.0,5.1,62.0
S0916,AU,15,24.6,2,3,2.0,14.5,39.0
S0917,CA,12,34.3,3,13,2.0,15.9,85.0
S0918,US,16,11.9,0,6,9.0,3.6,67.0
S0919,IN,22,14.0,1,3,2.0,2.6,41.0
S0920,IN,20,24.6,0,3,2.0,6.0,53.0
S0921,IN,18,30.2,4,8,1.0,7.6,77.0
S0922,US,26,17.9,2,9,6.0,9.6,88.0
S0923,US,18,26.6,1,6,13.0,3.1,76.0
S0924,US,14,23.1,4,8,18.0,5.2,82.0
S0925,US,26,23.3,1,5,17.0,8.7,60.0
S0926,JP,11,27.2,3,7,0.0,4.8,40.0
S0927,IN,17,6.0,2,3,20.0,15.1,76.0
S0928,BR,11,11.8,0,2,1.0,0.8,71.0
S0929,CA,17,26.8,2,4,1.0,15.6,71.0
S0930,JP,16,27.9,0,4,1.0,7.9,56.0
S0931,JP,16,44.3,4,3,1.0,2.8,28.0
S0932,US,13,22.3,4,7,5.0,3.3,74.0
S0933,AU,15,32.4,2,5,4.0,14.7,34.0
S0934,IN,18,24.8,1,9,23.0,19.6,104.0
S0935,AU,22,35.5,1,5,10.0,6.1,110.0
S0936,AU,17,25.7,0,8,1.0,13.7,54.0
S0937,US,21,10.3,2,6,18.0,10.5,78.0
S0938,BR,25,17.7,1,6,4.0,19.7,61.0
S0939,JP,18,22.8,0,9,19.0,5.3,126.0
S0940,PL,23,26.4,3,5,0.0,6.2,47.0
S0941,US,11,9.5,2,6,7.0,12.0,12.0
S0942,IN,13,31.9,3,3,3.0,0.0,59.0
S0943,BR,21,26.0,0,9,11.0,9.7,101.0
S0944,DE,25,22.7,1,6,11.0,9.3,114.0
S0945,US,16,5.1,3,5,2.0,3.4,18.0
S0946,IN,18,18.5,1,5,6.0,3.6,84.0
S0947,US,19,11.0,2,9,14.0,12.2,70.0
S0948,DE,8,35.9,2,3,8.0,7.2,57.0
S0949,US,23,21.9,1,6,1.0,5.0,44.0
S0950,DE,22,29.4,2,10,8.0,3.0,119.0
S0951,US,13,32.6,2,7,7.0,6.5,117.0
S0952,BR,15,12.4,0,8,3.0,7.4,79.0
S0953,IN,23,17.4,4,5,5.0,9.6,94.0
S0954,IN,18,12.1,2,1,5.0,7.2,51.0
S0955,DE,22,37.8,4,25,48.0,2.6,276.0
S0956,PL,16,17.3,1,3,0.0,0.0,37.0
S0957,IN,20,13.2,3,4,9.0,15.8,141.0
S0958,BR,22,25.6,2,7,1.0,21.8,94.0
S0959,PL,17,26.1,1,5,0.0,13.4,36.0
S0960,AU,16,24.9,0,9,6.0,3.9,88.0
S0961,JP,18,21.5,2,5,13.0,1.8,32.0
S0962,AU,16,26.5,1,5,12.0,9.7,57.0
S0963,IN,26,28.4,12,10,60.0,3.2,435.0
S0964,DE,21,34.4,1,10,17.0,3.3,50.0
S0965,JP,15,3.5,4,9,4.0,3.9,48.0
S0966,IN,18,10.9,2,5,1.0,10.7,50.0
S0967,DE,9,24.8,5,1,17.0,6.4,80.0
S0968,AU,15,15.0,2,5,22.0,9.0,9.0
S0969,DE,12,23.3,0,6,4.0,12.3,24.0
